Chapo Trap House
Will Menaker
Matt Christman
Felix Biederman
Amber Frost
Virgil Texas
Chris Wade
Derek Davison
Katherine Krueger
Brendan James
Nick Mullen
Stavros Halkias
Adam Friedland
Tim Faust
Hasan Piker
Daniel Bessner
Briahna Joy Gray
Sam Seder
Brace Belden
Liz Franczak
Ben Mora
Connor Kilpatrick
Alex Pareene
Libby Watson
Ed Zitron
James Adomian
Rob Delaney
Matt Taibbi
David Sirota
Glenn Greenwald
Naomi Klein
Slavoj Žižek
Norman Finkelstein
Jon Schwarz
Thomas Frank
Matt Karp
Corey Robin
David Roth
Jon Bois
Luke Savage
Ken Klippenstein
Jeremy Scahill
Ryan Grim
Osita Nwanevu
Pendejo Time
